,Unnamed: 0,Time,force_x,force_y,force_z,torque_x,torque_y,torque_z,orientation_w,orientation_x,orientation_y,orientation_z,position_x,position_y,position_Z,roll_vel,pitch_vel,yaw_vel,surge,sway,heave,voltage,pwm_0,pwm_1,pwm_2,pwm_3,pwm_4,pwm_5,pwm_6,pwm_7,roll,pitch,yaw,position_x_integrated,position_y_integrated,position_Z_integrated,orientation_w_integrated,orientation_x_integrated,orientation_y_integrated,orientation_z_integrated,surge_derivated,sway_derivated,heave_derivated,roll_vel_derivated,pitch_vel_derivated,yaw_vel_derivated,roll_integrated,pitch_integrated,yaw_integrated,position_x_difference,position_y_difference,position_Z_difference,orientation_w_difference,orientation_x_difference,orientation_y_difference,orientation_z_difference,roll_difference,pitch_difference,yaw_difference,surge_difference,sway_difference,heave_difference,roll_vel_difference,pitch_vel_difference,yaw_vel_difference
0,0,0.0,-0.127187751970198,0.0854675952672399,-6.011939644813538,-0.0097381234169006,-0.0254448539670557,-0.0031274126968719,0.4791017161419018,-0.0137912407986695,0.0063064261352427,-0.8776283816379905,0.8619107671383499,-0.4616590425948335,-0.7266438946171596,-0.0056496003619896,-0.0027487844008704,-0.000184404277167,0.0235456227991654,0.0153017681807243,-0.0029797875077655,15.050000190734863,1585.949731702082,1526.0,1635.0,1604.0,1576.0,1525.0,1633.0,1557.0,-0.0021464010609212,0.0302546231985155,-2.1421725484556062,0.8619107671383499,-0.4616590425948335,-0.7266438946171596,0.4791017161419018,-0.0137912407986695,0.0063064261352427,-0.8776283816379905,0.022816149051618686,0.013875313791039916,-0.0017634736940244139,0.0013414684824789272,0.0032891687631112256,-0.009941632138282107,-0.002146401060921184,0.03025462319851533,-2.1421725484556062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6046192152785466e-17,-1.700029006457271e-16,0.0,-0.0007294737475467133,-0.0014264543896843843,0.0012163138137410861,0.006991068844468528,0.006037953163981626,-0.009757227861115107
1,1,0.1,-0.1279383109479989,0.086958202956365,-6.014908137624824,-0.0077383479284202,-0.0240828318473396,0.0014829873915428,0.4786652843490457,-0.0139003024691871,0.0064509384894021,-0.8778637209401686,0.8618387206986879,-0.464328971340661,-0.7268124119779454,-0.0038945435728704,-0.0004044704047232,-0.0087400361034121,0.0225800638575069,0.0171288438544392,-0.0025228737552475,15.050000190734863,1584.0,1526.0,1635.0,1602.8265552206085,1574.8265552206085,1525.0,1633.0,1555.8265552206085,-0.0019820230308814,0.0305855915786802,-2.143166490491619,0.8619155425517796,-0.4644677386866573,-0.7269361264081861,0.4790905715611033,-0.014047255473254519,0.006488363771568572,-0.8776290788200286,0.021225231588914508,0.013657442373758133,-0.0017530089803523116,0.0042180923622647,0.0015349108779609808,-0.0190108840243677,-0.0020720511019123784,0.030878494355327867,-2.142193261151952,7.682185309165757e-05,-0.00013876734599632679,-0.0001237144302406179,0.0004252872120575901,-0.0001469530040674183,3.7425282166471396e-05,0.00023464212014001617,-9.002807103097822e-05,0.00029290277664766745,0.0009732293396669256,-0.0013548322685923916,-0.0034714014806810686,0.0007698647748951885,0.0081126359351351,0.0019393812826841808,-0.010270847920955601
2,2,0.2,-0.1271913045454896,0.0873749775662794,-6.017903292795923,-0.0058825186015718,-0.0214526689655228,0.0105599255943226,0.4778330443362088,-0.0138605833469608,0.0066860292049305,-0.8783158674321804,0.861831818268576,-0.4668532706892977,-0.7269825808403687,-0.0024591006081325,0.0013801664003667,-0.0150398363312846,0.0229401303187279,0.011269928914485,-0.0027504884326651,15.100000381469728,1581.7801492003475,1526.0,1635.0,1601.0,1573.0,1525.0,1633.2198507996525,1553.5602984006948,-0.0015019086237987,0.0307423941339986,-2.145068202921481,0.8621246152268109,-0.46729411317556246,-0.7271893270022987,0.4787044035059654,-0.014161038253363095,0.006643553446368122,-0.8778367856596064,0.021966361374961614,0.01370894948187582,-0.0014016965454497373,0.0018610105045865585,-0.0011170005590612109,-0.016379423269116008,-0.0018949165331468398,0.03122783238247515,-2.1430727228574313,0.0002927969582349199,-0.00044084248626474754,-0.00020674616192994932,0.0008713591697565581,-0.0003004549064022956,-4.2475758562377994e-05,0.0004790817725739416,-0.0003930079093481399,0.0004854382484765496,0.001995480064049815,-0.0009737689437662872,0.00243902056739082,0.0013487918872153628,0.004320111112719059,-0.0024971669594279107,-0.0013395869378314083
3,3,0.3,-0.1260955322540249,0.0928888022663998,-6.020273178920194,-0.0046335653902615,-0.0200153810068159,0.0158240468517198,0.4771152290593569,-0.0137615863704836,0.00675241910532,-0.8787070511703153,0.8617852521879589,-0.4694424482146137,-0.7271174961994286,-0.0013322710675791,0.0027331914243145,-0.0177346694212071,0.0191953800344969,0.0161338454950825,-0.0015599283250837,15.050000190734863,1580.175585593806,1526.0,1635.0,1600.824414406194,1571.824414406194,1525.0,1634.0,1607.824414406194,-0.0012655223667007,0.0306329605936862,-2.146707070052221,0.8618163503614702,-0.46983274446482065,-0.727451213588354,0.4780419721701056,-0.014164213503804934,0.006774101337369321,-0.878196651924047,0.024247419865347977,0.014443468247934448,-0.001640924092149961,0.00042661666434665136,-0.006434830559069186,-0.011806289380487167,-0.0016450004328526218,0.03135967903103025,-2.144584439673817,3.10981735113236e-05,-0.00039029625020697845,-0.00033371738892540304,0.0009267431107486956,-0.000402627133321334,2.168223204932103e-05,0.0005103992462683893,-0.00037947806615192176,0.0007267184373440476,0.0021226303784041,0.005052039830851077,-0.0016903772471480519,-8.099576706626114e-05,0.0017588877319257513,-0.009168021983383685,0.005928380040719931
4,4,0.4,-0.122090588098095,0.0883126911196489,-6.025164737404489,-0.0035798383079525,-0.0186136310214896,0.0157972099387901,0.4765988737188384,-0.0134647033919688,0.006625777012074,-0.8789927840497254,0.8616711346945339,-0.4722628619230615,-0.727274599608722,0.00309873805986,0.0049480300999637,-0.0125610341019143,0.0191953800344969,0.0161338454950825,-0.0015599283250837,15.050000190734863,1581.2381791963498,1526.0,1635.0,1600.2381791963498,1571.2381791963498,1525.0,1634.0,1594.9001442007618,-0.0011870386613992,0.0299909256803558,-2.14788903022102,0.8621191902366466,-0.4723215092105538,-0.7276134099676981,0.4772612240891086,-0.014081907689028663,0.006885638540441964,-0.8786216545468781,0.022183105844261683,0.013655975790495423,-0.001547618511738122,0.00045643033058794056,-0.011145062382543765,-0.008555365550801683,-0.0013424136370019748,0.03132295634092003,-2.1463672859593133,0.00044805554211269083,-5.86472874923305e-05,-0.0003388103589760938,0.0006623503702701816,-0.0006172042970598642,0.0002598615283679641,0.0003711295028472339,-0.0001553749756027748,0.0013320306605642263,0.0015217442617068144,0.002987725809764783,-0.0024778697045870768,1.2309813345577798e-05,-0.0026423077292720594,-0.016093092482507464,0.004005668551112618
5,5,0.5,-0.1213111900137925,0.0864880864461541,-6.028042137296965,0.002561811955418,-0.0159107260333172,0.0111874706336721,0.4762267502806062,-0.0129611675890375,0.0063860088877581,-0.8792037928389456,0.8616006782697203,-0.4748671579183512,-0.7274242261056478,0.0078232214565973,0.006833137947363,-0.010612386503138,0.0228227792223614,0.0145938980674339,-0.0016970186188639,15.028748307459551,1583.0,1526.0,1635.0,1602.0,1572.0,1525.0,1634.0,1553.2357669095036,-0.0011161685594336,0.0288774052600912,-2.148746220999576,0.8624191959398924,-0.47481062290713805,-0.7277755185688597,0.47670981949017244,-0.01379476795546627,0.006858907766694019,-0.8789257123118825,0.027990633665592173,0.016769726030737554,-0.0023089646896170208,-0.000638558033138479,-0.019802598919935622,-0.00672614191192422,-0.00109578160263247,0.03079343621152447,-2.147630925374516,0.0008185176701720476,5.653501121316573e-05,-0.0003512924632118608,0.0004830692095662559,-0.0008336003664287696,0.0004728988789359191,0.0002780805270630182,2.038695680112992e-05,0.001916030951433268,0.0011152956250599644,0.005167854443230771,0.002175827963303654,-0.0006119460707531207,-0.008461779489735779,-0.026635736867298622,0.00388624459121378
6,6,0.6000000000000001,-0.1214462487062511,0.0839305534008421,-6.030283439353724,0.0068326350438723,-0.0133740013318098,0.0094498264234133,0.4759367163521514,-0.0121036917529957,0.005890766826936,-0.8793765072709588,0.8614695189517528,-0.4781280047552967,-0.7276477907722336,0.014477644861491,0.0098115977781414,-0.0082827110587259,0.0228227792223614,0.0145938980674339,-0.0016970186188639,15.100000381469728,1583.2802923309991,1526.0,1634.7197076690009,1602.0,1572.0,1525.0,1634.0,1554.0,-0.0011611990004073,0.0268979121106381,-2.1494213521718626,0.8623898418329113,-0.47751968640132386,-0.7279414196392412,0.47624642903854086,-0.013311495908394791,0.0066708295934068285,-0.879185784085056,0.026783096555203164,0.01572159738319149,-0.00278555433073783,-0.002358037223165946,-0.024316322202121307,-0.005479183125064674,-0.0009497285063081877,0.029764868303493477,-2.1486964359106198,0.0009203228811585085,0.0006083183539728476,-0.0002936288670075671,0.0003097126863894628,-0.001207804155399091,0.0007800627664708284,0.00019072318590285242,0.00021147049409911227,0.002866956192855378,0.000724916261242825,0.0039603173328417625,0.0011276993157575896,-0.0010885357118739299,-0.016835682084656946,-0.03412791998026271,0.0028035279336612266
7,7,0.7000000000000001,-0.1187384498177039,0.0783770552791872,-6.030962955277436,0.0143999131040297,-0.0107791724083749,0.0072217647766805,0.4757011652121958,-0.0110890221395144,0.0052117464742196,-0.8795216158244418,0.861313621256131,-0.4812304155901611,-0.7279186503357639,0.0191812255623715,0.0123543706044805,-0.007434935131615,0.0227148568864325,0.0168484241608771,-0.0009382346325112,15.068910792741672,1585.1289304151665,1526.0,1634.0,1602.0,1571.8710695848335,1525.0,1634.0,1555.0,-0.0013828484744442,0.0244669781317024,-2.1499725449112,0.8623589939887827,-0.4802287402392872,-0.7281072073281979,0.4758885646638872,-0.012538020640113865,0.006262742822705118,-0.8793939106639924,0.024473412535371365,0.014773663533632197,-0.0025940596584729816,-0.001633928924503843,-0.026814765853211533,-0.00628879004984637,-0.0009189262272272904,0.028016118235726188,-2.149525368689498,0.001045372732651706,0.0010016753508739207,-0.00018855699243403024,0.0001873994516913835,-0.0014489985005994646,0.0010509963484855184,0.00012770516044935398,0.00046392224721690956,0.003549140104023789,0.0004471762217019837,0.0017585556489388664,-0.0020747606272449037,-0.0016558250259617814,-0.02081515448687534,-0.03916913645769203,0.0011461450817686304
8,8,0.8,-0.1143187075336136,0.0688747428240331,-6.0303768640649045,0.0186952537436044,-0.0081452717240852,0.0067726612895259,0.4754302378674865,-0.009947027593744,0.0045055837830633,-0.8796856513994579,0.8612042194171384,-0.4840875955481398,-0.7281715058948912,0.0221943482921832,0.0134014869420455,-0.0058345117743081,0.0226824018890927,0.0162086331169045,-0.0020317443548158,15.050000190734863,1586.2315158696572,1526.0,1634.0,1601.2315158696572,1570.0,1525.0,1634.0,1555.2315158696572,-0.0015316046505606,0.0217864198755416,-2.150605500035204,0.8625234537047495,-0.48305208334694416,-0.7282011793521513,0.47556968287710844,-0.011540450783749047,0.005708962759588394,-0.8795838234461136,0.027739815123965596,0.016872553193402997,-0.0030836923238535528,-0.0022883730230449408,-0.030035089632364894,-0.006818753479015538,-0.0009338638047700659,0.025734447263661524,-2.150267959396983,0.0013192342876110486,0.001035512201195632,-2.967345726012649e-05,0.00013944500962193018,-0.0015934231900050465,0.001203378976525094,0.00010182795334423567,0.0005977408457905341,0.003948027388119925,0.0003375406382208901,0.005057413234872896,0.0006639200764984969,-0.001051947969037753,-0.02448272131522814,-0.04343657657441039,-0.0009842417047074377
9,9,0.9,-0.1098082179658149,0.0613906661244477,-6.028653347973451,0.0224245364219773,-0.0067053537696811,0.0050397434990977,0.4751353811878349,-0.0086788058277872,0.0036943377914252,-0.8798621481466157,0.8610892643984682,-0.4873330692649891,-0.728472473042874,0.0245179580871582,0.0142546692652645,-0.004148397220092,0.0226824018890927,0.0162086331169045,-0.0020317443548158,15.077639932355002,1588.2328627927427,1526.2328627927427,1634.0,1602.0,1569.0,1525.0,1634.0,1556.0,-0.0017465084577479,0.0187840312737482,-2.1512924387290093,0.8626322739921334,-0.4858379434954013,-0.7284025065964392,0.4753219023868421,-0.01042473531287508,0.005048440860361264,-0.8797357144335389,0.02399604460793612,0.014639151078147691,-0.00287081406329023,-0.0010552226435392026,-0.028212242029669116,-0.009561525114059164,-0.0010278980349669848,0.02314335889744429,-2.150848525232655,0.0015430095936651567,0.0014951257695877684,6.996644643475491e-05,0.00018652119900719466,-0.0017459294850878798,0.0013541030689360645,0.00012643371307674567,0.0007186104227809153,0.0043593276236960875,0.000443913496354309,0.001313642718843419,-0.001569482038756809,-0.0008390697084744302,-0.025573180730697403,-0.042466911294933615,-0.005413127893967164
