,Time,position_x,position_y,position_z,orientation_w,orientation_x,orientation_y,orientation_z,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
0,0.0,-1.6570375089811664,-0.0961385184356585,0.2967292037958187,0.817800220400934,0.0706420092570977,0.001202075219756,-0.5711488938970128,0.0015326411162,-0.0014004748463575,0.0092638143645323,-0.0017224730750911,-0.0019998323351884,-0.0010759071565696
1,0.1,-1.6571880225933895,-0.09643725510367897,0.29761767878555345,0.817775699387204,0.07051440254669779,0.0011732916952778925,-0.5711998478341083,0.0038711858698731,-0.0032057035606014,0.0082790913828777,-0.0020726453270323,-0.0012424557819546,-0.0055378994544014
2,0.2,-1.657418516800795,-0.09700350977188145,0.2983688696840122,0.8176248427942793,0.07039384963182369,0.0012012511043455285,-0.5714304931440899,0.0018608392905576,0.0024807999465034,0.0111967785483252,-0.0019519948349174,-0.0011777091993752,-0.0105483049925799
3,0.3,-1.657210826987359,-0.09722536538687715,0.29949025027885534,0.8173302476259536,0.07027978196762699,0.001246332303072178,-0.5718656138064174,0.0018608392905576,0.0024807999465034,0.0111967785483252,-0.0011036158990407,-0.0009079480258611,-0.0061034366744526
4,0.4,-1.6570032563145036,-0.09744746939642182,0.30061160376269325,0.8171596600745314,0.07020835450597755,0.0012624570006275488,-0.5721181483407949,0.0018608392905576,0.0024807999465034,0.0111967785483252,-0.0004020983587244,-0.0015689929210588,-0.0012689689132062
5,0.5,-1.656795561705486,-0.09766969429761481,0.3017329103459592,0.8171248942478053,0.07014696990916176,0.001214354641319646,-0.5721755390328361,-0.0018848458891412,-0.000472463947319,0.0115386315768107,0.0005586473889787,-0.0019627764611325,0.0017849164845015
6,0.6000000000000001,-1.6569953466180063,-0.09764409714040402,0.30288555496725367,0.8171741095399905,0.07011378130996948,0.0011118868453744793,-0.5721095618723503,-0.0015235885275333,0.0043070450459702,0.0103546832407259,0.0016197594164347,-0.0025989154703717,0.0036018481032027
7,0.7000000000000001,-1.656726588564628,-0.09747843080542606,0.30397240270941883,0.8172715564919557,0.07010594091100764,0.0009466342390529879,-0.5719716763330582,-0.0209841425972895,-0.0044282041949194,0.0088611201664381,-0.000160652646921,-0.0014242313743469,0.0036863768666767
8,0.8,-1.6579367742974793,-0.09577070689338113,0.30497427913274994,0.8173776078858739,0.07005894907299523,0.0008799736345789719,-0.5718260388498693,-0.0209841425972895,-0.0044282041949194,0.0088611201664381,-0.000784957445593,-0.0012479003191732,-0.0025014628001029
9,0.9,-1.6591460586008822,-0.09406246721723621,0.3059763647168102,0.8173089559303339,0.0699909928786201,0.0008602790842061972,-0.5719326118834063,-0.0048520839263762,0.0070108717390799,0.0084863746308591,-0.0012971464142257,-0.0007348438438734,-0.0083931361388967
10,1.0,-1.6587244339727727,-0.09347378704388985,0.30693700215098485,0.8170734551920463,0.06991632936020702,0.0008971171761127477,-0.5722779754550613,-0.0048520839263762,0.0070108717390799,0.0084863746308591,-0.0017093951068558,6.766723580218351e-05,-0.0113597023507329
11,1.1,-1.6583026422082812,-0.09288605019113783,0.30789814368727464,0.8167542908035875,0.06984760374850492,0.0009892738947030412,-0.5727414855801303,0.0029347140636682,0.005365150912676,0.0097879558370506,-0.0007937524418849,0.000291603011516,-0.0083484361967217
12,1.2000000000000002,-1.657777439682098,-0.09309738711687862,0.3089038840685373,0.8165179114133607,0.06982295342285733,0.0010536749114384248,-0.5730811888448185,-0.0009756614506399,0.0022119410028828,0.0115354713468408,-0.0014646689467201,0.0004235488800209,-0.0073326502034402
13,1.3,-1.6576948335953252,-0.09306772695510007,0.3100792195456817,0.8163128553026514,0.06977481094752772,0.0011389120989504444,-0.5733788462540433,-0.001468227258339,0.0020102246517138,0.012294957357378,-0.0015576808731777,0.0009751284726289,-0.0080495643444227
14,1.4,-1.6576539675069941,-0.09300843619663732,0.311331593801768,0.8160874351390572,0.06973860550792821,0.0012519881320257682,-0.5737036854884514,-0.001468227258339,0.0020102246517138,0.012294957357378,-0.0013892978714112,0.0013267936817407,-0.0055406831103245
15,1.5,-1.657614219359559,-0.0929493567054759,0.31258401402159114,0.8159333697043193,0.06971965566549743,0.0013657551305382844,-0.5739249004594775,-0.0008877262929443,0.0016874404820502,0.0126704595040288,-0.0017076567337554,0.0020048217363385,-0.0014887924484109
16,1.6,-1.6575883565861238,-0.09296058801259016,0.3138650157970152,0.8158966483049409,0.0697074582556766,0.0015018755987043241,-0.573978320843294,-0.0008877262929443,0.0016874404820502,0.0126704595040288,-0.0016301219253703,0.0018042667217177,0.0001145146572195
17,1.7000000000000002,-1.657561716672286,-0.09297052874010743,0.3151460123117942,0.8159056315649202,0.06969275013175326,0.0016218431360785193,-0.5739671300451957,-0.0006851897592895,0.0034285864597016,0.0113315665809638,-0.001687285048531,0.0018228622427757,-0.0064795261812598
18,1.8,-1.6573556531677915,-0.09292725177832495,0.31631304095311424,0.8157255260565254,0.06967600903570524,0.0017679010606900612,-0.5742246836279519,-0.0017829108033017,0.0018757954777887,0.011457619608181,-0.0014900406313147,0.0014319314496804,-0.0123381939185184
19,1.9,-1.6573332628848412,-0.09283312298753225,0.31748367441961917,0.815376251095491,0.0696559721938425,0.0019132372517933287,-0.5747224155809079,-0.0073798623502617,-0.0061140884102473,0.0112868139530759,-0.0003689708754557,-0.0005588760231227,-0.0173121682301763
20,2.0,-1.658246744007308,-0.09247432908758164,0.31859236072436886,0.8148794500313359,0.06962393009655866,0.001962993763498396,-0.5754295827266949,-0.0073798623502617,-0.0061140884102473,0.0112868139530759,0.0010984271945758,-0.0021623625028444,-0.0214301124716129
