,Time,force_x,force_y,force_z,torque_x,torque_y,torque_z,orientation_w,orientation_x,orientation_y,orientation_z,position_x,position_y,position_Z,roll_vel,pitch_vel,yaw_vel,surge,sway,heave,voltage,pwm_0,pwm_1,pwm_2,pwm_3,pwm_4,pwm_5,pwm_6,pwm_7,roll,pitch,yaw
0,0.0,-0.4179850172894448,-0.2057407933572679,-1.2843725681304932,0.0,7.636845100744694e-09,0.1814291173040121,-0.053670943468795314,-0.05281728114798611,0.0023419727892012967,-0.9971581017084297,-0.40370800671688684,0.10754662832053355,-0.7077112235931102,-0.014871141253565869,-0.00859524291844087,0.0023614593885000327,0.0018720436437034,0.0041506445749608,0.0039907903700848,16.260000228881836,1573.0,1566.730245008199,1605.269754991801,1549.0,1599.0,1554.730245008199,1593.269754991801,1565.269754991801,0.01039789561076329,0.10527733042051798,3.0335007722169482
1,0.1,-0.42582215419827124,-0.20478227949537672,-1.3236666396085754,0.0,2.518504589505008e-09,0.1765585519977543,-0.05315320545705167,-0.053111925499208394,0.0033454116112769825,-0.9971673221383451,-0.4037464398911053,0.10750943550559404,-0.7066496932285017,-0.01898815327084736,-0.0076366426340155925,0.00931742621298403,-0.0012510104270166012,-0.0014438625737739578,0.007739440040295288,16.25288227019567,1573.2469417723871,1564.7530582276129,1607.2469417723871,1549.4938835447745,1599.4938835447745,1552.7530582276129,1595.2469417723871,1566.2469417723871,0.012387543113724857,0.10576438601773987,3.0344293536512557
2,0.2,-0.4290778250956951,-0.19831144763490405,-1.369714241359517,0.0,4.0595448026301855e-09,0.1612711823218648,-0.05240445478112211,-0.05335713163131053,0.004678379833687166,-0.9971884989235004,-0.40371370036247983,0.10744103295741507,-0.7054096851426315,-0.02384444126225692,-0.006457862800244409,0.016606355961562423,-0.0006732370701882979,0.0009114988591820031,0.009607817792920467,16.253557704111657,1575.0,1563.7351358489643,1608.2648641510357,1552.0,1602.0,1551.7351358489643,1596.2648641510357,1568.2648641510357,0.015007746098521783,0.10612298235398664,3.0357877431542217
3,0.30000000000000004,-0.43523309293064466,-0.1964573801999662,-1.4230511729646762,0.0,7.357872565007685e-10,0.15034422945273676,-0.05168812801903904,-0.05356023937511909,0.006132602754286574,-0.9972071145772204,-0.40366290091004575,0.10738175419342107,-0.7039721882838632,-0.029807680191034913,-0.006752685669159118,0.018970765098848784,-0.0006674831439675,0.0009340691284874,0.009624704919636,16.25284159136942,1575.0,1561.733872789612,1611.266127210388,1552.0,1603.266127210388,1548.733872789612,1598.266127210388,1570.0,0.01786978612033001,0.10638791442535803,3.0370680719015377
4,0.4,-0.4402799661200532,-0.19476973414684282,-1.4761362175516668,0.0,4.4447002482690406e-10,0.15137350282293052,-0.05152294816581277,-0.0538026634607126,0.007148792001383309,-0.9971958453532372,-0.4035855725468929,0.10728881979840038,-0.7024994094822671,-0.02203398949506865,-0.005878168484997815,0.005518566805183114,0.002860749543984337,-0.0011721876157671732,0.011400731027817603,16.209999084472656,1574.560026654282,1559.780013327141,1612.0,1551.780013327141,1603.780013327141,1548.0,1600.219986672859,1569.780013327141,0.019916357275669663,0.10676967383643196,3.0372845170560674
5,0.5,-0.44668191815856684,-0.19445236974524174,-1.5343486092587864,0.0,-1.8296002227142357e-09,0.16704069192102236,-0.05186527457828608,-0.05424658916248426,0.008179462988764357,-0.9971461263237054,-0.4034670789838285,0.10710369480559627,-0.7010630673426514,-0.019196403228723756,-0.009076704129541369,-0.0025037658980788247,0.0024346196295964564,0.0005605754505482606,0.015204861728645165,16.260000228881836,1572.0,1557.7472968036097,1613.0,1549.7472968036097,1602.0,1547.0,1602.2527031963903,1568.0,0.022068541201716932,0.10754226626849399,3.036471040628819
6,0.6000000000000001,-0.4493406379716709,-0.19896952917534763,-1.5861579869106806,0.0,-4.270963567595409e-09,0.17838275108655988,-0.052542336731479976,-0.054493669771752185,0.009171291508820598,-0.9970885769166464,-0.4033807378164846,0.106913796059377,-0.6999359111740889,-0.021631237322008195,-0.007157332415571778,-0.012137999301864856,0.0024289470399963,0.0005803721617048,0.0152466141201583,16.25455312399434,1570.7143281592757,1555.7143281592757,1613.0,1548.0,1600.7143281592757,1547.0,1604.2856718407243,1566.7143281592757,0.024158501513668124,0.10791560738816447,3.0349936610217942
7,0.7000000000000001,-0.44913342549340957,-0.2017518427677938,-1.6252395809237141,0.0,8.506717631867815e-10,0.19199319093950162,-0.053254131010656715,-0.05459035840823342,0.01009098027222911,-0.9970366404582662,-0.4032166367203958,0.10670694718283719,-0.6989563440177361,-0.019188249133165036,-0.0033161429094857274,-0.014340192970664783,0.0009658288662519,0.0011317461911625,0.0122122388317456,16.260000228881836,1569.0,1554.0,1613.0,1548.0,1599.0,1547.0,1606.0,1566.0,0.026091416652318743,0.1079921863952447,3.0334589588859426
8,0.8,-0.44329607121602393,-0.20466979805637667,-1.6550241098437986,0.0,-3.833886310204094e-09,0.19428446463030954,-0.05382942814973391,-0.05444106714849022,0.01078479295174088,-0.9970066454712297,-0.4030332261380393,0.10656474709712815,-0.6982237818788426,-0.017704286099778588,0.00034629384625650813,-0.012784307914988358,-0.0029434603971804233,0.0008532466284309752,0.009899877006470199,16.213533927274845,1570.0,1553.0,1613.2724187028298,1548.0,1598.0,1546.7275812971702,1607.0,1565.0,0.027528755118602286,0.10760265602271808,3.0322327016227697
9,0.9,-0.4368316726206775,-0.2042282673215761,-1.678945322691642,0.0,3.769092886205399e-09,0.19327794571964657,-0.05404369777046847,-0.05409622213510891,0.011286061384702128,-0.9970082759437977,-0.40288595112372855,0.10654252892101644,-0.6976363294701777,-0.011466322698635466,0.006280940043872806,-0.0047911719967810235,-0.0030508150555172,0.0008455986332612,0.0098363762530147,16.21036815860145,1570.1380724002568,1552.0,1614.0,1548.0,1598.1380724002568,1546.0,1608.0,1565.0,0.028518202946129504,0.10685209362194295,3.0317617452391223
