,Time,force_x,force_y,force_z,torque_x,torque_y,torque_z,orientation_w,orientation_x,orientation_y,orientation_z,position_x,position_y,position_Z,roll_vel,pitch_vel,yaw_vel,surge_vel,sway_vel,heave_vel,voltage,pwm_0,pwm_1,pwm_2,pwm_3,pwm_4,pwm_5,pwm_6,pwm_7,roll,pitch,yaw,position_x_integrated,position_y_integrated,position_Z_integrated,orientation_w_integrated,orientation_x_integrated,orientation_y_integrated,orientation_z_integrated,surge_vel_derivated,sway_vel_derivated,heave_vel_derivated,roll_vel_derivated,pitch_vel_derivated,yaw_vel_derivated,roll_integrated,pitch_integrated,yaw_integrated,position_x_difference,position_y_difference,position_Z_difference,orientation_w_difference,orientation_x_difference,orientation_y_difference,orientation_z_difference,roll_difference,pitch_difference,yaw_difference,surge_vel_difference,sway_vel_difference,heave_vel_difference,roll_vel_difference,pitch_vel_difference,yaw_vel_difference
0,0.0,-0.3079882541450858,-0.4661853156933188,-5.976503610610962,-0.2415491533279418,0.0315663899481296,0.1561869219118357,0.9991638830705035,0.03868151545974158,-0.001736780571461248,-0.013124737043367245,0.0004977269319420133,0.0009251978775950822,0.32814468116937545,0.06327811864936249,0.0016210207588546219,-0.009920172901263544,-0.0004977763804838,-0.0033508733873077,-2.3243825928008238e-05,14.9399995803833,1586.0,1522.0,1638.0,1544.0,1554.894893079799,1530.0,1630.0,1603.894893079799,0.07733058417065458,-0.004486041323932575,-0.026096388339682287,0.0004977269319420133,0.0009251978775950822,0.32814468116937545,0.9991638830705035,0.03868151545974158,-0.001736780571461248,-0.013124737043367245,-0.0014361307915367013,-0.004430306789347399,0.0004842027804995418,0.06546318611374459,-0.0007310781467852896,-0.010184005862853006,0.07733058417065458,-0.004486041323932575,-0.026096388339682287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009383544110529013,-0.0010794334020396991,0.00050744660642755,0.002185067464382101,-0.0023520989056399115,-0.00026383296158946114
1,0.1,-0.3029221438819227,-0.46388664567293825,-5.977121310238815,-0.2636274515597151,0.031405726931483,0.16095453944203036,0.9990250431784815,0.04195132116297623,-0.0017500316693741416,-0.01363771036758579,0.0003423869096555258,0.0004836909204012362,0.3281583379088573,0.06381854378191233,0.0011212118774586108,-0.009882310966042356,-0.0010369434399306,-0.0069653175550226,0.0001005912640914,15.0,1585.847259937321,1522.0,1638.0,1544.0,1553.847259937321,1531.0,1629.0,1601.847259937321,0.08387230979633314,-0.004640907522547511,-0.027105606983349406,0.00043923368186600916,0.0005927205351539094,0.3281163245644908,0.9990300027224387,0.04184448650640804,-0.0016781277577828564,-0.013611630932686893,-0.0009637069887243344,-0.0036580189603428745,0.0006779303632812069,0.062010455906926575,-0.0020822369998975514,-0.00413382590231347,0.08366051092274222,-0.004492158478866485,-0.027059989875457054,9.684677221048337e-05,0.00010902961475267321,-4.201334436648718e-05,4.959543957183676e-06,-0.0001068346565681888,7.190391159128521e-05,2.6079434898898177e-05,-0.00021179887359092098,0.00014874904368102591,4.561710789235257e-05,7.323645120626556e-05,0.003307298594679726,0.0005773390991898068,-0.0018080878749857573,-0.003203448877356162,0.005748485063728885
2,0.2,-0.2982022159713644,-0.4593404847913106,-5.977738220903571,-0.2842584124555372,0.031280238691291096,0.1636736393716646,0.9988871424554691,0.045049676445365464,-0.0018204204972172098,-0.013845192614357398,0.0002358240668558157,0.00011627355815372405,0.3281949859234222,0.061202304489380244,0.0004119908641518893,-0.005487578173549065,-0.0014864972237567124,-0.0062083181319588085,0.00010652665205275016,14.984226902087505,1585.0,1521.0,1639.0,1544.0,1553.0,1531.0,1629.0,1600.0,0.090071490287863,-0.004884251571957059,-0.027499344801863335,0.0003166544604270638,-9.910236660075518e-05,0.32806768716630275,0.9988846411136616,0.04503371293973034,-0.0016449019622848781,-0.014097260146139875,-0.001661764891572344,-0.0030048978267879834,0.0008248504802740598,0.050737642726859704,-0.0035025658884552235,0.0010693605952782517,0.0900431498739713,-0.004555854305900971,-0.028018877864520914,8.08303935712481e-05,-0.00021537592475447923,-0.00012729875711947614,-2.501341807459312e-06,-1.596350563512483e-05,0.00017551853493233166,-0.00025206753178247734,-2.834041389170039e-05,0.000328397266056088,-0.0005195330626575796,-0.00017526766781563157,0.003203420305170825,0.0007183238282213097,-0.01046466176252054,-0.0039145567526071125,0.006556938768827316
3,0.30000000000000004,-0.29455849374475185,-0.4612200729194494,-5.979071532462514,-0.3089925567174843,0.031129648542968617,0.1591581043671273,0.9987700471486979,0.04758611169238391,-0.001957815671105202,-0.013788468021710841,6.104737933450947e-05,-0.00018567714581974243,0.3282496796164779,0.054355857520738717,-0.0003947154494201968,-6.798527263860766e-05,-0.0019245239199164,-0.0054707290642897,0.0001123098496871,14.954290523484666,1587.0,1521.0,1639.0,1544.0,1554.0,1532.0,1628.7879177627515,1601.0,0.09514596189048598,-0.005223118207556467,-0.027360474731852182,0.00015094056950811866,-0.0007139984672940511,0.32802203575643285,0.9987382912280035,0.048090979558531324,-0.001654324709992805,-0.014364766960258782,-0.0027745289264906534,-0.004388887125999322,0.0006816701032750708,0.04243426251297603,-0.003913193054392592,0.0026411775004131412,0.09616226822678896,-0.0046861234474867425,-0.028538356356658984,8.989319017360919e-05,-0.0005283213214743087,-0.00022764386004503478,-3.175592069437627e-05,0.0005048678661474168,0.00030349096111239714,-0.0005762989385479401,0.00101630633630298,0.0005369947600697249,-0.0011778816248068022,-0.0008500050065742533,0.0010818419382903777,0.0005693602535879708,-0.011921595007762686,-0.003518477604972395,0.0027091627730517487
4,0.4,-0.28606017113683674,-0.45996375749170354,-5.981595045187913,-0.33708156309434556,0.031902202208766176,0.15257879235313027,0.9986682450006392,0.04970806317039328,-0.002117690868447406,-0.013651383394258134,-0.00022866047095220946,-0.0006211936596388309,0.32827507407762724,0.04249478306030602,-6.114070354956865e-05,0.003088645531428223,0.0023789309135028,-0.0087856802517472,7.480767105281496e-05,15.0,1588.8259883583999,1520.8259883583999,1639.0,1544.0,1554.1740116416001,1532.0,1628.0,1601.8259883583999,0.09939101768315481,-0.005586937967295239,-0.02705959798480618,-5.6461931650203626e-05,-0.0012541161048535187,0.32798068405434255,0.9986038336473004,0.050804907645498804,-0.001711340008675381,-0.014363707718481796,0.0003883481219925549,-0.00044867991539859905,-0.0006493599384548478,0.023065683857963853,-0.0024219494044595722,0.0052477974739765145,0.1015946727411681,-0.004877414413094831,-0.028517622594336788,0.00017219853930200584,-0.0006329224452146878,-0.0002943900232846852,-6.441135333878911e-05,0.001096844475105524,0.00040635085977202526,-0.0007123243242236621,0.0022036550580132874,0.0007095235542004079,-0.0014580246095306088,-0.001990582791510245,0.0083370003363486,-0.0007241676095076627,-0.019429099202342166,-0.0023608087009100035,0.0021591519425482914
5,0.5,-0.2853075866600693,-0.4524093272867479,-5.981379709256584,-0.3593253436269973,0.03355956383042631,0.1502167181604038,0.9986135371671666,0.05086198514682392,-0.00220983875265154,-0.013385756089642367,-0.00019069163282766833,-0.0006604469287787443,0.32820611386595866,0.029494691051017166,-0.0005100631110152825,0.00532900290074354,0.0006322128740562231,-0.004469505522946949,-0.0004913198061945115,15.010462465718303,1589.1208191094877,1520.0,1640.0,1544.0,1556.0,1533.0,1627.8791808905123,1601.1208191094877,0.10170069108303699,-0.005775234145357293,-0.02651314911317748,0.00015752813856601488,-0.0021352938369093547,0.32790153284446,0.9984958517061008,0.05292621161569106,-0.001751067296956415,-0.014205069976634292,0.0005300908993344261,0.0007653219627664347,-0.0007380245485873381,0.007406389928537026,-0.002374868555988711,0.008689106132251738,0.10584228554128933,-0.005000528783254251,-0.02818613649699824,0.0003482197713936832,-0.0014748469081306104,-0.0003045810214986622,-0.00011768546106583067,0.002064226468867142,0.00045877145569512504,-0.0008193138869919247,0.004141594458252337,0.0007747053621030417,-0.0016729873838207607,-0.00010212197472179692,0.005234827485713384,-0.0002467047423928266,-0.022088301122480142,-0.0018648054449734283,0.0033601032315081977
6,0.6000000000000001,-0.28372977947853406,-0.4656651376424521,-5.977452188494013,-0.3813980268197526,0.03281261481561395,0.14557512015159904,0.9986000853330812,0.051234332109535694,-0.0023013629056360917,-0.012946679683579931,-0.00013524699472956253,-0.0005782745053243911,0.3281406346482214,0.00967776289700793,-0.0015930673516901033,0.007988581545312717,-0.001504973637417,0.0008115245020685,-0.0011840017278461,15.0,1592.0674699361364,1520.0,1640.0,1544.0,1555.0674699361364,1533.0,1627.0,1604.0674699361364,0.10244652765319563,-0.005922945991852623,-0.025624546873187996,0.00020916141906791391,-0.002576488082006317,0.3278074195014353,0.998420437127453,0.054397757903388466,-0.001809820613509792,-0.013936972793855492,0.0008845699647047897,0.002012787527567289,-0.0005885113678790686,-0.008194949995448859,-0.0024671946407240587,0.009808281703398158,0.10878910925025424,-0.005130226423917374,-0.027636898248983206,0.00034440841379747647,-0.001998213576681926,-0.0003332151467860811,-0.00017964820562821338,0.0031634257938527727,0.0004915422921262997,-0.000990293110275561,0.006342581597058611,0.0007927195679352491,-0.00201235137579521,0.0023895436021217895,0.001201263025498789,0.0005954903599670315,-0.017872712892456788,-0.0008741272890339553,0.001819700158085441
7,0.7000000000000001,-0.28600454771819345,-0.4702529864416113,-5.974759794001185,-0.40082574706592494,0.032594347465608936,0.13971469696811142,0.9986269322993125,0.050827873089160217,-0.0024047282886461925,-0.012449686162889396,-4.1314996926214044e-05,-0.00037440957759779633,0.32810299020814304,-0.0022052368581148593,-0.001589049557318523,0.009853105963622811,-0.0005485163814276995,0.0006881042848484114,-0.001171404868405138,15.0,1594.0,1520.0,1640.0,1544.0,1556.0676278091025,1533.0676278091025,1627.0,1606.0676278091025,0.10163303345136623,-0.006068472250933465,-0.024623670955970553,6.149660561969355e-05,-0.0024797536953010918,0.32769745887720436,0.9983993537523832,0.0548789478293486,-0.0019160892441194097,-0.013541052912375664,0.0006897544365737135,0.0024974226077761463,-0.0004699709619405868,-0.02041375291076288,-0.002240211618243424,0.009877647971490622,0.10975206995674323,-0.005312306984838213,-0.026832049138397575,0.0001028116025459076,-0.0021053441177032953,-0.0004055313309386799,-0.0002275785469293412,0.0040510747401883845,0.0004886390445267828,-0.001091366749486268,0.008119036505377,0.0007561652660952522,-0.002208378182427022,0.001238270818001413,0.0018093183229277348,0.0007014339064645512,-0.01820851605264802,-0.000651162060924901,2.454200786781123e-05
8,0.8,-0.29196979258783556,-0.4763108994010978,-5.973142029796085,-0.4090610543826567,0.03341495076568334,0.13319169789018304,0.9986840427636383,0.04981113607226657,-0.0025041877594359904,-0.011948326080711629,3.407230278000057e-05,-0.00012299893631383013,0.3280818483021526,-0.01838899656222596,-0.0017202596774348947,0.01096930435872393,0.0003750530366407861,-0.00021239383363084476,-0.0016725542784876576,15.0,1595.158177579762,1519.841822420238,1640.0,1544.0,1558.0,1534.0,1627.0,1609.158177579762,0.09959782024401488,-0.006192143673799919,-0.023618380837420874,9.067627652047306e-06,-0.0023980581930788574,0.32758772046953244,0.9984118085035918,0.05476671333201708,-0.002019102360317057,-0.013053389485282833,0.0010601715987647413,0.004087315272824855,-0.0008622822606472858,-0.03212100363675421,0.0001849893330762197,0.0060976737544826175,0.10952723871901378,-0.005461600910524703,-0.02584742063188275,-2.5004675127953264e-05,-0.002275059256765027,-0.0004941278326201504,-0.0002722342600465222,0.0049555772597505154,0.00048508539911893333,-0.0011050634045712045,0.009929418474998897,0.0007305427632752163,-0.002229039794461877,0.0006851185621239552,0.0042997091064557,0.0008102720178403718,-0.013732007074528246,0.0019052490105111145,-0.004871630604241312
9,0.9,-0.29528651788259885,-0.4805858341378987,-5.970276924187802,-0.41680917036814624,0.03412183817592168,0.13063187308078272,0.9987663734990172,0.04820778579554174,-0.0024989501269598977,-0.01164026651653446,0.0001502442909390477,0.0002896048577117755,0.3280371427669688,-0.030037060066854505,-0.0008485873094288144,0.005819947431004439,0.0004164626495739,-0.0010830377966094,-0.0022404944585362,14.992690629710165,1596.0,1519.0,1640.0,1544.0,1558.0,1534.0,1626.0,1611.1990172237715,0.09638944122618699,-0.006114075753961133,-0.02301333725707247,4.7095831655404044e-05,-0.002403460114289127,0.32741932565874254,0.9984685853919323,0.05384632253038398,-0.0021213458025853707,-0.012512291052140596,4.338682538349561e-05,0.0031853510801463335,-0.0002766292060040212,-0.04455076907407728,0.0019728374946828492,0.001890152237457253,0.10768430824037085,-0.00558370501896981,-0.024760721732657746,-0.00010314845928364366,-0.0026930649720009023,-0.0006178171082262818,-0.00029778810708491754,0.005638536734842242,0.00037760432437452694,-0.0008720245356061349,0.011294867014183863,0.0005303707349913235,-0.0017473844755852772,-0.0003730758241904044,0.004268388876755734,0.0019638652525321787,-0.014513709007222778,0.002821424804111664,-0.003929795193547187
