Time,data
1619829443.202729,16.559999465942383
1619829443.2028408,16.610000610351562
1619829443.2029219,16.559999465942383
1619829443.2029865,16.610000610351562
1619829443.2030327,16.610000610351562
1619829443.2031088,16.610000610351562
1619829443.203175,16.559999465942383
1619829443.203286,16.610000610351562
1619829443.2033634,16.610000610351562
1619829443.2263436,16.559999465942383
1619829443.2770603,16.559999465942383
1619829443.3275456,16.610000610351562
1619829443.377954,16.559999465942383
1619829443.428139,16.559999465942383
1619829443.485971,16.559999465942383
1619829443.5288994,16.559999465942383
1619829443.578445,16.610000610351562
1619829443.630804,16.610000610351562
1619829443.6834512,16.559999465942383
1619829443.7315476,16.610000610351562
1619829443.781794,16.559999465942383
1619829443.8322792,16.559999465942383
1619829443.8814476,16.610000610351562
1619829443.9322138,16.559999465942383
1619829443.9826374,16.559999465942383
1619829444.0329716,16.559999465942383
1619829444.0826092,16.610000610351562
1619829444.1345053,16.610000610351562
1619829444.1850514,16.559999465942383
1619829444.2353978,16.610000610351562
1619829444.2844548,16.559999465942383
1619829444.3408191,16.559999465942383
1619829444.3860433,16.559999465942383
1619829444.4375732,16.559999465942383
1619829444.493069,16.559999465942383
1619829444.5379298,16.559999465942383
1619829444.5914972,16.610000610351562
1619829444.6373122,16.610000610351562
1619829444.6879287,16.559999465942383
1619829444.7395272,16.559999465942383
1619829444.7911298,16.559999465942383
1619829444.8401785,16.559999465942383
1619829444.8956316,16.559999465942383
1619829444.941637,16.610000610351562
1619829444.9910133,16.559999465942383
1619829445.0435245,16.610000610351562
1619829445.0932481,16.559999465942383
1619829445.1432629,16.610000610351562
1619829445.1952581,16.559999465942383
1619829445.242448,16.559999465942383
1619829445.2982192,16.610000610351562
1619829445.3444545,16.559999465942383
1619829445.394835,16.559999465942383
1619829445.4453614,16.610000610351562
1619829445.4949303,16.559999465942383
1619829445.5468695,16.559999465942383
1619829445.5994756,16.559999465942383
1619829445.6474452,16.610000610351562
1619829445.6967392,16.559999465942383
1619829445.7475467,16.610000610351562
1619829445.7969391,16.559999465942383
1619829445.8486688,16.559999465942383
1619829445.8981261,16.610000610351562
1619829445.9482486,16.559999465942383
1619829446.0019472,16.559999465942383
1619829446.049865,16.559999465942383
1619829446.102331,16.559999465942383
1619829446.1519723,16.559999465942383
1619829446.2063892,16.559999465942383
1619829446.2542267,16.610000610351562
1619829446.3043568,16.610000610351562
1619829446.3580236,16.510000228881836
1619829446.4050505,16.559999465942383
