Time,force.x,force.y,force.z,torque.x,torque.y,torque.z
1619832243.6021807,2.0084731090674255e-15,0.0,0.0,0.0,19.571286621093748,7.391723449698973e-17
1619832243.6484435,2.0084731090674255e-15,0.0,0.0,0.0,19.571286621093748,7.391723449698973e-17
1619832243.7019234,2.0084731090674255e-15,0.0,0.0,0.0,19.571286621093748,7.391723449698973e-17
1619832243.7480528,2.0084731090674255e-15,0.0,0.0,0.0,19.571286621093748,7.391723449698973e-17
1619832243.8095887,2.0084731090674255e-15,0.0,0.0,0.0,19.571286621093748,7.391723449698973e-17
1619832243.844976,2.0084731090674255e-15,0.0,0.0,0.0,19.571286621093748,7.391723449698973e-17
1619832243.8987806,2.0084731090674255e-15,0.0,0.0,0.0,19.571286621093748,7.391723449698973e-17
1619832243.9509425,1.8700794217581638e-15,0.0,0.0,0.0,18.2227294921875,6.882399682108108e-17
1619832243.9983704,1.270299061877805e-15,0.0,0.0,0.0,12.378252868652343,4.6750433381939236e-17
1619832244.0648212,1.1204093650049206e-15,0.0,0.0,0.0,10.917672729492187,4.1234097859379325e-17
1619832244.0971282,7.974168289521861e-16,0.0,0.0,0.0,7.770317687988281,2.9347113185248636e-17
1619832244.1420789,0.0,0.0,0.0,0.0,0.0,0.0
1619832244.204305,0.0,0.0,16.11700439453125,0.0,0.0,0.0
1619832244.2533236,0.0,0.0,31.37543296813965,0.0,0.0,0.0
1619832244.298409,0.0,0.0,41.657657623291016,0.0,0.0,0.0
1619832244.3483074,0.0,0.0,41.657657623291016,0.0,0.0,0.0
1619832244.4009004,0.0,0.0,41.657657623291016,0.0,0.0,0.0
1619832244.4523618,0.0,0.0,42.492427825927734,0.0,0.0,0.0
1619832244.4991803,0.0,0.0,46.1051025390625,0.0,0.0,0.0
1619832244.5518239,0.0,0.0,48.328285217285156,0.0,0.0,0.0
1619832244.5983934,0.0,0.0,50.2735710144043,0.0,0.0,0.0
1619832244.6380415,0.0,0.0,52.49675369262695,0.0,0.0,0.0
1619832244.6955023,0.0,0.0,52.774654388427734,0.0,0.0,0.0
1619832244.747933,0.0,0.0,53.05255126953125,0.0,0.0,0.0
1619832244.797183,0.0,0.0,53.05255126953125,0.0,0.0,0.0
1619832244.8471293,0.0,0.0,53.05255126953125,0.0,0.0,0.0
1619832244.8975682,0.0,0.0,53.05255126953125,0.0,0.0,0.0
1619832244.9504764,0.0,0.0,53.05255126953125,0.0,0.0,0.0
1619832245.0026689,0.0,0.0,53.05255126953125,0.0,0.0,0.0
1619832245.051512,0.0,0.0,53.05255126953125,0.0,0.0,0.0
1619832245.0980418,0.0,0.0,52.774654388427734,0.0,0.0,0.0
1619832245.146031,0.0,0.0,52.774654388427734,0.0,0.0,0.0
1619832245.1957371,0.0,0.0,52.49675369262695,0.0,0.0,0.0
1619832245.250876,0.0,0.0,48.60618209838867,0.0,0.0,0.0
1619832245.2990727,0.0,0.0,32.764923095703125,0.0,0.0,0.0
1619832245.3429303,0.0,0.0,0.0,0.0,0.0,0.0
1619832245.393754,0.0,0.0,0.0,0.0,0.0,0.0
1619832245.444038,0.0,0.0,0.0,0.0,0.0,0.0
1619832245.4913378,0.0,0.0,0.0,0.0,0.0,0.0
1619832245.5437083,0.0,0.0,0.0,0.0,0.0,0.0
1619832245.5913055,0.0,0.0,0.0,0.0,0.0,0.0
1619832245.6429753,0.0,0.0,0.0,0.0,0.0,0.0
1619832245.6915154,0.0,0.0,0.0,0.0,0.0,0.0
1619832245.7419882,0.0,0.0,0.0,0.0,0.0,0.0
1619832245.7929966,0.0,0.0,0.0,0.0,0.0,0.0
1619832245.846629,0.0,0.0,0.0,0.0,0.0,0.0
1619832245.892655,0.0,0.0,0.0,0.0,0.0,0.0
1619832245.9439535,0.0,0.0,0.0,0.0,0.0,0.0
1619832245.9932246,0.0,0.0,0.0,0.0,0.0,0.0
1619832246.050393,0.0,0.0,0.0,0.0,0.0,0.0
1619832246.097722,0.0,0.0,-43.32612228393555,0.0,0.0,0.0
1619832246.151513,0.0,0.0,-56.94312286376953,0.0,0.0,0.0
1619832246.200892,0.0,0.0,-59.4442024230957,0.0,0.0,0.0
1619832246.2516978,0.0,0.0,-60.0,0.0,0.0,0.0
1619832246.2985692,0.0,0.0,-60.0,0.0,0.0,0.0
1619832246.3474543,0.0,0.0,-60.0,0.0,0.0,0.0
1619832246.3980732,0.0,0.0,-60.0,0.0,0.0,0.0
1619832246.4526544,0.0,0.0,-60.0,0.0,0.0,0.0
1619832246.4957786,0.0,0.0,-60.0,0.0,0.0,0.0
1619832246.5500674,0.0,0.0,-60.0,0.0,0.0,0.0
1619832246.5988498,0.0,0.0,-60.0,0.0,0.0,0.0
1619832246.650993,0.0,0.0,-60.0,0.0,0.0,0.0
1619832246.6961632,0.0,0.0,-60.0,0.0,0.0,0.0
1619832246.7516308,0.0,0.0,-60.0,0.0,0.0,0.0
1619832246.796824,0.0,0.0,-56.66522216796875,0.0,0.0,0.0
1619832246.8531651,0.0,0.0,-53.60834884643555,0.0,0.0,0.0
1619832246.8995154,0.0,0.0,-30.0,0.0,0.0,0.0
1619832246.9436252,0.0,0.0,0.0,0.0,0.0,0.0
1619832247.0028884,0.0,0.0,0.0,0.0,0.0,0.0
1619832247.0433745,0.0,0.0,0.0,0.0,0.0,0.0
1619832247.0930693,0.0,0.0,0.0,0.0,0.0,0.0
1619832247.1455345,0.0,0.0,0.0,0.0,0.0,0.0
1619832247.19172,0.0,0.0,0.0,0.0,0.0,0.0
1619832247.247288,0.0,0.0,0.0,0.0,0.0,0.0
1619832247.2911408,0.0,0.0,0.0,0.0,0.0,0.0
1619832247.3436277,0.0,0.0,0.0,0.0,0.0,0.0
1619832247.395285,0.0,0.0,0.0,0.0,0.0,0.0
