,orientation_w,orientation_x,orientation_y,orientation_z,orientation_w_integrated,orientation_x_integrated,orientation_y_integrated,orientation_z_integrated
0,-0.0001100164711779,-0.04071966777495,0.003788326719894,-0.9991634226358256,-0.0001100164711779,-0.04071966777495,0.003788326719894,-0.9991634226358256
1,-0.0003839380892628,-0.0405142949404395,0.0039619525748411,-0.9991710301188768,-0.0003294743568528,-0.0405088131339363,0.0038929204090641,-0.9991715431675467
2,-0.0006913843476413,-0.0402653054360571,0.0041076357280522,-0.9991803413271052,-0.0005851184862139,-0.0402605687325447,0.0040385272364647,-0.9991808817924058
3,-0.000896616188712,-0.040067417227292,0.0043509649604123,-0.9991871032294488,-0.0008952558672557,-0.0400148053451406,0.0042025047156655,-0.9991898482391808
4,-0.0008175126038949,-0.0399587857589498,0.0046608716862647,-0.999190123744694,-0.001151607693855,-0.0397686437314258,0.0044262796141273,-0.9991984471686592
5,-0.0004740989325924,-0.0399595624473035,0.0051525191515111,-0.9991879003198624,-0.0011483394318346,-0.0395717884507154,0.0046852554484819,-0.9992050856839868
6,-8.239769576640389e-05,-0.0398677938207796,0.0053258668012483,-0.9991907662550223,-0.0008227242338197,-0.0394096574895178,0.0049527108462141,-0.9992105247027114
7,0.0001056162782516,-0.0397926639823684,0.0054545002043469,-0.999193065010916,-0.0003472814272729,-0.0392522779788559,0.0051879297268075,-0.9992158042456248
8,0.0001581301761506,-0.0396638840169027,0.00567221710056,-0.9991969661947064,-0.000112199819171,-0.0390937053497498,0.0053842986799665,-0.9992210360780804
9,0.0002147056975435,-0.0393853526782794,0.0060655847957592,-0.9992056628026867,-2.284067057190489e-05,-0.0389606374931389,0.0056047143028184,-0.9992250273997422
10,0.0005377938303108,-0.039393722053241,0.0062552811457497,-0.9992040416743596,3.761281452436518e-06,-0.0388627659748959,0.0058280025802342,-0.9992275615657116
11,0.0009143999919983,-0.0394668432406299,0.0063955919678013,-0.9991999942757483,0.0002620104700215,-0.038813568661881,0.0061164601757389,-0.999227715364802
12,0.0007286743451052,-0.0393704013627353,0.0065902173376136,-0.9992026869287728,0.0007246020699376,-0.0387808508741049,0.0063623445185346,-0.9992272219718336
13,0.0001225010959301,-0.0394376356700766,0.0066695952758105,-0.999199767006124,0.0006503802524778,-0.0387761497501301,0.0065081456430392,-0.9992265164898156
14,-0.0004312317120697,-0.0395801812088933,0.0067253552958938,-0.9991936713624768,0.0001109722688703,-0.0388358579235907,0.0066110984569455,-0.999223727301192
15,-0.0007788056844,-0.0397934701200529,0.0067581154452238,-0.9991847682351546,-0.0005026972380363,-0.0389862495600311,0.0066577351902657,-0.999217440902062
16,-0.0008609694587063,-0.0401604979894674,0.0066833665143309,-0.9991705188529456,-0.0009176559807294,-0.0392196185964114,0.0066873068527524,-0.9992078158980294
17,-0.0007319108351012,-0.040307195314279,0.0067845375350271,-0.9991640327608186,-0.0010251091588853,-0.0394566635360921,0.0067104221006234,-0.9991982241222426
18,-0.0003398754610985,-0.0404329014097659,0.0069251078883774,-0.9991581996105487,-0.0009116159969379,-0.0397062157863463,0.0067591023706052,-0.9991881203854186
19,0.0005920330587033,-0.0407489887166421,0.0069136882089101,-0.999145319926375,-0.0006052002779687,-0.0399472392244842,0.0068235034306228,-0.9991783082172558
20,0.0013606804091335,-0.040917962027383,0.0068064344070143,-0.9991383995138076,0.0002285913355113,-0.0401981174094378,0.0068386817080663,-0.9991682999050931
21,0.0018575714561442,-0.0409757393013167,0.0067511117636399,-0.9991356067656436,0.0010617317778543,-0.0403728092800082,0.0068020273168339,-0.9991609687236852
22,0.0022052962539815,-0.0410145334376733,0.0067010127593796,-0.9991336452864156,0.001603963893972,-0.0404809678867854,0.0067191298565607,-0.9991564301112946
23,0.0024097328537477,-0.0410753248147108,0.0065168090724214,-0.9991318942354172,0.0019405317793653,-0.0405263414874763,0.0066235304939167,-0.9991546320894727
24,0.0025443824241316,-0.0410197710601495,0.0061787218398651,-0.9991359906922972,0.0021902696007064,-0.0405695944313964,0.0065040468987364,-0.9991531454690452
25,0.0025945857156837,-0.0407347383983221,0.0058221222947764,-0.9991496645170675,0.0023267398247842,-0.0405601780086688,0.0063258698538916,-0.9991543632553904
26,0.0025475301641394,-0.0406562699346366,0.0055813090547558,-0.9991543558401276,0.0023585456542179,-0.0405320434718734,0.0061353723834111,-0.9991566183137196
27,0.0024456017295319,-0.0405527882305829,0.0053971706219997,-0.9991598275292012,0.0023324576294791,-0.0404533418839719,0.0059105506515352,-0.9991612243090804
28,0.0022750794029388,-0.0404354561293877,0.0052272651089394,-0.9991658889297612,0.0022160826679644,-0.0403307042876281,0.0057450382525246,-0.9991674123012368
29,0.0020844982354695,-0.0402996505824328,0.0050681796894161,-0.9991726110060644,0.0020528852266315,-0.0401880653267295,0.0055806309688558,-0.9991744400381398
30,0.0018121355324037,-0.0402232173954529,0.0049085393693933,-0.9991770189453064,0.0018450222892497,-0.0400424240849073,0.0054312052087271,-0.999181516130146
31,0.0014309287628485,-0.0403122956733016,0.0048568566043051,-0.9991743002121048,0.0015744554334903,-0.0399031612776858,0.0053150881450728,-0.99918817479399
32,0.0012263103192896,-0.0405493925322083,0.0054900814649967,-0.9991616995931026,0.0012401071383625,-0.0397354953943891,0.0051844892261299,-0.9991960136086973
33,0.0012660627289227,-0.0407885116626691,0.0065904350549966,-0.9991452649976862,0.0011122109540152,-0.0398536124867704,0.0054657873028452,-0.9991899607820868
