,orientation_w,orientation_w_integrated
0,-0.0001100164711779,-0.0001100164711779
1,-0.0003839380892628,-0.0003294743568528
2,-0.0006913843476413,-0.0005851184862139
3,-0.000896616188712,-0.0008952558672557
4,-0.0008175126038949,-0.001151607693855
5,-0.0004740989325924,-0.0011483394318346
6,-8.239769576640389e-05,-0.0008227242338197
7,0.0001056162782516,-0.0003472814272729
8,0.0001581301761506,-0.000112199819171
9,0.0002147056975435,-2.284067057190489e-05
10,0.0005377938303108,3.761281452436518e-06
11,0.0009143999919983,0.0002620104700215
12,0.0007286743451052,0.0007246020699376
13,0.0001225010959301,0.0006503802524778
14,-0.0004312317120697,0.0001109722688703
15,-0.0007788056844,-0.0005026972380363
16,-0.0008609694587063,-0.0009176559807294
17,-0.0007319108351012,-0.0010251091588853
18,-0.0003398754610985,-0.0009116159969379
19,0.0005920330587033,-0.0006052002779687
20,0.0013606804091335,0.0002285913355113
21,0.0018575714561442,0.0010617317778543
22,0.0022052962539815,0.001603963893972
23,0.0024097328537477,0.0019405317793653
24,0.0025443824241316,0.0021902696007064
25,0.0025945857156837,0.0023267398247842
26,0.0025475301641394,0.0023585456542179
27,0.0024456017295319,0.0023324576294791
28,0.0022750794029388,0.0022160826679644
29,0.0020844982354695,0.0020528852266315
30,0.0018121355324037,0.0018450222892497
31,0.0014309287628485,0.0015744554334903
32,0.0012263103192896,0.0012401071383625
33,0.0012660627289227,0.0011122109540152
34,0.0056607041971395,0.0011554819693336
35,0.0204542709148003,0.0039115011820001
36,0.0465474345343708,0.0157281757000099
37,0.0775462464862953,0.0367864653617627
38,0.1087486198571983,0.0671867245674512
39,0.1475008461356189,0.1010699105973623
40,0.1830243481405447,0.1369122928516405
41,0.2193918784232152,0.1731763266433649
42,0.2575533717753108,0.2102401308126194
43,0.2929792413119489,0.247865175025908
44,0.327890983201103,0.2856882501742768
45,0.370436554319303,0.3230965882120322
46,0.4055035406118293,0.3599468208771383
47,0.4405823929316704,0.3960889475475952
48,0.4750628402117528,0.4311995038357993
49,0.5077061569309487,0.4652598587007593
50,0.5395002777464606,0.4982269348649365
51,0.5692451259304792,0.5300370323118891
52,0.5991157923805722,0.5608327898403502
53,0.6275052692610419,0.5907333476098118
54,0.6547953726277702,0.6196598119643297
55,0.6806658808347621,0.6476282495246016
56,0.7058315366179688,0.6745749008141512
57,0.7302394309580439,0.7001817211870199
58,0.7510866572907116,0.7242045977334163
59,0.7716474554486742,0.7467563793165526
60,0.7900757342586466,0.767503196418093
61,0.8079683936907618,0.7867278155384831
62,0.8239801434586471,0.8045655443450811
63,0.8384816810333211,0.8213726019130471
64,0.853221663554079,0.8371217985514535
65,0.867098821612525,0.8518363350024702
66,0.8804697307415372,0.8656655690406568
67,0.8921888175024999,0.8785939445256779
68,0.9028432151468728,0.8906554188812457
69,0.9128712025203276,0.9018609009015526
70,0.9224311001275152,0.9122833211364448
71,0.9311391104419672,0.9218825204156208
72,0.9395305595971422,0.9306574269070504
73,0.9466860628654326,0.9387481047024094
74,0.9530759934619084,0.9461091686679622
75,0.95931771932488,0.952877585441056
76,0.9646675722520348,0.9590206523126924
77,0.9695944291430904,0.9646028030341858
78,0.9741247477168652,0.9696588869693492
79,0.9781796823389992,0.9741557078597072
80,0.9815591712062328,0.9781686315593752
81,0.9845765968354884,0.9817225616028686
82,0.987020475572488,0.9848348046037324
83,0.9893367929560272,0.987563148825644
84,0.991642340742021,0.9899078728041256
85,0.9934371849296416,0.991942321675052
86,0.994526822146922,0.9936611323591226
87,0.9956919505954596,0.9951123512036792
88,0.99659498941527,0.996309139841234
89,0.9972694074005278,0.9972764415234696
90,0.997775096925402,0.9980191831190012
91,0.998116750181754,0.9985555027052476
92,0.9983051998059348,0.9989129449264176
93,0.9983712058881004,0.9991149772422244
94,0.9983339815145724,0.9991849424627628
95,0.9981867101055638,0.9991316943844466
96,0.997958045202099,0.9989727637313612
97,0.9976022074726864,0.9987099796444684
98,0.9972092976759688,0.9983564183508958
99,0.996741511706784,0.99793239706404
100,0.9962018899453188,0.9974545559230488
101,0.9956608208853174,0.9969426044003508
102,0.9951227316446732,0.9963936145117268
103,0.9944283324672064,0.9958079659657164
104,0.9937592934261562,0.9951810505387444
105,0.993137076748344,0.9945161856849388
106,0.9924648209002794,0.9938229743947464
107,0.9916141136137278,0.9931073794221018
108,0.9908673841595744,0.9923713874118368
109,0.9901214667213696,0.991614079167464
110,0.9894223012156258,0.9908666665479162
111,0.9887463694172094,0.9901669467550728
112,0.9881111809843128,0.989500080395795
113,0.9874812847718804,0.988864201199312
114,0.9868791425903116,0.98825353119798
115,0.9863007870065847,0.987684387786106
116,0.9857409049898804,0.9871246878360964
117,0.9852434078776534,0.9865842866096072
118,0.984780072035264,0.9860798365786088
119,0.9843375653768502,0.985603758348482
120,0.9839301566226348,0.9851553947711515
121,0.9835458324089288,0.9847349694959308
122,0.9831791120083576,0.9843363452618596
123,0.9829033685591804,0.9839655307654228
124,0.9826294096663976,0.9836157029331448
125,0.9823662838126443,0.9833138584341268
126,0.9821328221388236,0.983032529203496
127,0.981937339593541,0.9827675054797868
128,0.9818025239689284,0.9825500227754532
129,0.9817960038028604,0.9823939245818584
130,0.9818228283859824,0.9823208413322336
131,0.9819018760993328,0.9822914017962868
132,0.9820286321875766,0.9823417618271044
133,0.982224212494048,0.9824505274103288
134,0.9824520012720762,0.9826087803702028
135,0.9827133638799912,0.9828151270370036
136,0.9829573689285632,0.9830540672336274
137,0.9832247829681138,0.9832957904183046
138,0.9835150779448636,0.9835560219215312
